Time,ADS Pressure,P/F ratio,Purity
195,4.43,2.27E-07,0.99535
195,4.43,2.27E-07,0.996358
195,4.43,2.27E-07,0.996715
195,4.43,2.27E-07,0.996448
175,4.02,2.71E-07,0.996124
175,4.02,2.71E-07,0.996194
175,4.02,2.71E-07,0.996241
175,4.02,2.71E-07,0.996482
175,4.02,2.71E-07,0.996494
200,4.64,2.53E-07,0.996924
200,4.64,2.53E-07,0.99698
200,4.64,2.53E-07,0.996958
200,4.64,2.53E-07,0.997089
200,4.64,2.53E-07,0.996976
200,4.64,2.53E-07,0.996702
200,4.64,2.53E-07,0.996679
200,4.64,2.53E-07,0.99689
200,4.64,2.53E-07,0.996712
200,4.64,2.53E-07,0.996678
208,3.22,2.14E-07,0.995788
208,3.22,2.14E-07,0.979936
208,3.22,2.14E-07,0.967257
208,3.22,2.14E-07,0.962222
208,3.22,2.14E-07,0.960723
190,3.5,2.46E-07,0.982534
190,3.5,2.46E-07,0.99332
190,3.5,2.46E-07,0.995816
190,3.5,2.46E-07,0.996705
190,3.5,2.46E-07,0.996847
197,3.1,2.21E-07,0.995707
197,3.1,2.21E-07,0.992179
197,3.1,2.21E-07,0.989736
197,3.1,2.21E-07,0.988705
197,3.1,2.21E-07,0.988348
197,3.1,2.21E-07,0.988721
197,3.1,2.21E-07,0.988191
197,3.1,2.21E-07,0.988171
197,3.1,2.21E-07,0.988174
197,3.1,2.21E-07,0.988179
176,4.22,2.18E-07,0.992893
176,4.22,2.18E-07,0.99509
176,4.22,2.18E-07,0.995742
176,4.22,2.18E-07,0.995915
176,4.22,2.18E-07,0.996118
201,3.55,2.73E-07,0.997699
201,3.55,2.73E-07,0.996815
201,3.55,2.73E-07,0.995231
201,3.55,2.73E-07,0.994302
201,3.55,2.73E-07,0.99392
188,4.35,2.31E-07,0.994723
188,4.35,2.31E-07,0.995712
188,4.35,2.31E-07,0.996032
188,4.35,2.31E-07,0.996155
188,4.35,2.31E-07,0.996208
188,4.35,2.31E-07,0.99622
188,4.35,2.31E-07,0.996237
188,4.35,2.31E-07,0.996629
188,4.35,2.31E-07,0.996556
188,4.35,2.31E-07,0.996316
170,3.28,2.54E-07,0.997072
170,3.28,2.54E-07,0.997178
170,3.28,2.54E-07,0.997588
170,3.28,2.54E-07,0.997345
170,3.28,2.54E-07,0.997307
223,3.94,2.45E-07,0.99341
223,3.94,2.45E-07,0.97674
223,3.94,2.45E-07,0.967589
223,3.94,2.45E-07,0.964595
223,3.94,2.45E-07,0.963184
182,3.08,1.88E-07,0.984811
182,3.08,1.88E-07,0.994738
182,3.08,1.88E-07,0.996659
